OPUIC,Stop name,Station abbreviation
8531346,Dultschegnas,
8574594,"Summaprada, Schauenberg",
8506661,"Lenggenwil, Dorf",
8577299,"Buttisholz, Dorf",
8577333,"Buttisholz, Gattwil",
8577297,"Buttisholz, Stalten",
8589728,"Kriens, Obere Weinhalde",
8589747,"Kriens, Zumhofstrasse",
8530361,Sonnenberg (Kriens),
8572136,"Bretzwil, Mühle",
8506655,"Braunau, Dorf",
8509968,"Zillis, Dorf",
8502767,"Holziken, Post",HOPO
8509763,"Churwalden, Post",
8531335,Stätzerhorn,
8581651,"Cazis, Dorf",
8575229,"S. Vittore, Sassello",
8573372,"Ottoberg, Feldhof",
8572515,"Birmenstorf AG, Heigelweg",
8587152,"Arbon, Scheidweg",
8574549,"Tumegl/Tomils, Curschiglias",
8580102,"Melchtal, Plätzli",
8572915,"Melchtal, Weidli",
8595601,"Muttenz, Untere Hard",
8574158,"Trogen, Schopfacker",
8582239,"Trogen, Lindenbüel",
8577680,"Bilten, Sägestrasse",BILS
8577666,"Bilten, Abzw. Seggenstrasse",BISE
8590202,"Bergdietikon, Bernold",
8595522,"Diesbach GL, Hauptstrasse",DIHS
8595419,"Beringen, Oberdorf",
8595420,"Beringen, Rauhergete",
8588546,"Beringen, Höhenweg",
8588070,"Muttenz, Novartis",
8578311,"Muttenz, Auhafen",
8589234,"Reinach BL, Neuhofstrasse",
8573061,"Ebikon, Bühl",
8582908,"Flims Dorf, Val Tgiern",
8531158,Flumserberg Stellisattel,
8589908,"Abtwil SG, St. Josefen",ABSJ
8578250,"Hölstein, Bahnhof",
8588877,"Frenkendorf, Bächliacker",
8530653,Rüdlingen (Schiffstation),
8573707,"Rüdlingen, Sandgruben",
8572981,"St. Erhard, Dorf",
8574736,"Bergün/Bravuogn, Tuors Chants",
8589668,"Ebikon, Sagenschulhaus",
8589669,"Ebikon, Zentralschulhaus",
8589664,"Ebikon, Ladengasse",
8577152,"Ebikon, St. Klemens",
8589666,"Ebikon, Mühlegg",
8573060,"Ebikon, Schlössli",
8589659,"Ebikon, Gerbe",
8572561,"Bellikon, Rehaklinik",
8572559,"Bellikon, Abzw. Hausen",
8575078,"Pragg, Unterjarella",
8593756,"Nottwil, Eymatt SPZ",
8580951,"Mastrils, Tardisbrücke",
8580952,"Mastrils, Rösliplatz",
8580955,"Mastrils, Feld",
8580957,"Mastrils, Isla",
8580956,"Mastrils, Tretsch",
8574796,"Poschiavo, Stazione",
8580077,"Poschiavo, Scuole",
8574170,"Kriessern, Dorf",
8574651,"Bergün/Bravuogn, posta",
8506608,"Schwellbrunn, Winkfeld",
8574211,"Schwellbrunn, Halden",
8506698,"Schwellbrunn, Risi",
8580713,"Flerden, Pro Peua",
8509603,"Urmein, Dorf",
8574808,"Ospizio Bernina, Albergo",
8531428,Cheselenfirst,
8500095,"Münchenstein, Hofmatt",HOFM
8588786,"Münchenstein, Gartenstadt",
8594295,"Feusisberg, First",
8573809,"Feusisberg, Feld",
8574871,"Schmitten (Albula), Chappali",
8503879,"Widen, Imbismatt",
8583624,"Samnaun-Dorf, Pra Grond",
8574682,"Flims Waldhaus, Camping",
8574553,"Rothenbrunnen, Giuvaulta",
8589740,"Kriens, Sportweg",
8577328,"Oberkirch LU, Länggasse",
8577326,"Oberkirch LU, Zum gold. Wagen",
8577327,"Oberkirch LU, Dorf",
8574681,"Flims Waldhaus, Promenada",
8517410,"Muttenz, Käppeli",
8517409,"Muttenz, Freidorf",
8578194,"Muttenz, Fachhochschule",
8578374,"Beringen, Beringerfeld",
8584829,"Schiers, Ottenacher",
8574751,"Fajauna, alte Post",
8574760,"Schiers, Bazolis",
8503369,"Neuhaus SG, Post",
8578572,"Walenstadtberg, alte Post",
8594683,"Münchenstein, Zelgweg",
8588072,"Münchenstein, Neuewelt",MSTN
8583637,"Samnaun-Laret, Dorf",
8583639,"Samnaun-Laret, Abzweigung",
8583631,"Samnaun-Ravaisch, Sportanlagen",
8509695,"Conters im Prättigau, Dorf",
8502877,"Beinwil (Freiamt), Dorf",
8593509,"Sissach, Bützenen",
8518053,Spreitenbach Tivoli,SPBT
8573048,"Obernau, Oberrodel",
8573046,"Obernau, Dorf",
8589860,"Obernau, Hammerschmiede",
8574754,"Schiers, Schulhaus Farb",
8588335,"Neuhaus SG, Industrie",
8502591,"Schlossrued, Klack",
8572650,"Schlossrued, Pfaffenbergstr.",
8577360,"Böttstein, Schmidberg",
8578380,"Trasadingen, Langwis",
8578381,"Trasadingen, Dorf",
8574691,"Tschappina, Untertschappina",
8593498,"Arlesheim, Birsweg",
8588759,"Arlesheim, Baselstrasse",
8593501,"Arlesheim, Aliothstrasse",
8574877,"Flims Dorf, Spielplatz Plaids",
8579809,"Flims Dorf, Auas sparsas",
8582916,"Flims Dorf, Fussweg Caglims",
8582913,"Flims Dorf, Caglims",
8578281,"Zunzgen, Büchel",
8580514,"Varese, Via Ledro (I)",
8580000,"Gaggiolo, Via Lugano (I)",
8580109,"Rodero, Bivio per Rodero (I)",
8530642,Huningue Schifflände,
8500781,"Rünenberg, Mitteldorf",
8587206,"Romanshorn, Weitenzelg",
8587200,"Romanshorn, Holzenstein",
8500857,"Titterten, Gemeindehaus",
8580168,"Ried im Oberinntal, Trujen",
8580166,"Prutz, Mittelschule",
8574766,"Fanas, Kapitelhof",
8574919,"Says, Obersays",
8503732,"Egg SZ, Langrüti",
8503731,"Egg SZ, Schlapprig",
8582841,"Spiss, Gstalden",
8578241,"Oberdorf BL, Winkelweg",
8593521,Reschenpass/Passo Resia,
8587211,"Sitterdorf, Bahnhof",
8589767,"Kriens, Südpol",
8589723,"Kriens, Kupferhammer",
8502597,"Schiltwald, Firma Michel",
